Code Set,Code Value,Code Name,Code Definition,UK Recommended Usage
ExternalCategoryPurpose1Code,FCDT,ForeignCurrencyDomesticTransfer,Foreign Currency Transaction that is processed between two domestic financial institutions.,
ExternalCategoryPurpose1Code,CIPC,CashInPreCredit,Transaction is a direct debit for a cash order of notes and/or coins.,
ExternalCategoryPurpose1Code,CONC,CashOutNotesCoins,Transaction is a direct debit for a cash order of notes and/or coins.,
ExternalCategoryPurpose1Code,CGWV,CarrierGuardedWholesaleValuables,Transaction is a payment towards a Party for the collection of cash by the Cash in Transit company.,
ExternalChargeType1Code,BRKF,BrokerageFee,Fee paid to a broker for services provided.,
ExternalChargeType1Code,BTCH,Batch,Fee paid for processing a batch of transactions.,
ExternalChargeType1Code,COMM,Commission,Fee paid for services provided.,
ExternalChargeType1Code,SUMM,Summation,Summation of individual fees.,
ExternalChargeType1Code,AMND,Amendment,Payment order was changed based on request to do so from the (original) sending bank or as a result of receiving amended information from the (original) sending bank.,
ExternalChargeType1Code,CFEE,CancellationFee,Used when fees are assessed for cancellation of a payment.,
ExternalChargeType1Code,CLEF,ClearingFee,Used when fees are assessed for standard processing of financial institution type transfers.,
ExternalChargeType1Code,INVS,Investigation,Charges related to the processing of an investigation case/inquiry.,
ExternalChargeType1Code,INTE,Interest,Interest related charges.,
ExternalChargeType1Code,NSTP,NonSTPCharges,Charge for a payment that required an intervention during processing.,
ExternalChargeType1Code,DEBT,BorneByDebtor,Claim is being submitted in response to receiving a customer credit transfer with DEBT in Charge Bearer code.,
ExternalChargeType1Code,TELE,TelecommunicationCharges,"Charges relating to the most appropriate and efficient means of telecommunications available, for example, SWIFT, telex, telephone, facsimile, as determined by the party executing the payment instruction.",
ExternalCreditorReferenceType1Code,DISP,DispatchAdvice,Document is a dispatch advice.,
ExternalCreditorReferenceType1Code,FXDR,ForeignExchangeDealReference,Document is a pre-agreed or pre-arranged foreign exchange transaction to which the payment transaction refers.,
ExternalCreditorReferenceType1Code,PUOR,PurchaseOrder,Document is a purchase order.,
ExternalCreditorReferenceType1Code,RPIN,RelatedPaymentInstruction,"Document is a linked payment instruction to which the current payment instruction is related, for example, in a cover scenario.",
ExternalCreditorReferenceType1Code,RADM,RemittanceAdviceMessage,Document is a remittance advice sent separately from the current transaction.,
ExternalCreditorReferenceType1Code,SCOR,StructuredCommunicationReference,Document is a structured communication reference provided by the creditor to identify the referred transaction.,
ExternalDateType1Code,INDA,InvoiceDate,Relates to the invoice date.,
ExternalDateType1Code,PADD,PaymentDueDate,Relates to the payment due date.,
ExternalDateType1Code,NXBD,NextBillingDate,Relates to the next billing date.,
ExternalDateType1Code,NTAV,NotAvailable,Date type is not available.,
ExternalDocumentAmountType1Code,APDS,AdditionalPromotionalDiscount,"Addition discount based on third-party agreed business promotional activity, i.e., extra 10 percent discount for 15 days)",
ExternalDocumentAmountType1Code,STDS,StandingDiscount,Discount based on volume purchased.,
ExternalDocumentAmountType1Code,TMDS,TermsDiscount,"Discount based on terms negotiated for payment within a specified time period, i.e., 2/10 Net 30 (2 percent discount if paid in 10 days; otherwise, net amount is due in 30 days).",
ExternalDocumentAmountType1Code,CITY,CityTax,Tax accessed by city jurisdictions within a country.,
ExternalDocumentAmountType1Code,CNTY,CountyTax,Tax accessed by county jurisdictions within a country.,
ExternalDocumentAmountType1Code,LOCL,LocalTax,Tax accessed by local jurisdictions within a country.,
ExternalDocumentAmountType1Code,PROV,ProvinceTax,Tax accessed by province jurisdictions within a country.,
ExternalDocumentAmountType1Code,STAT,StateTax,Tax accessed by state jurisdictions within a country.,
ExternalDocumentAmountType1Code,CREN,CreditNote,Amount is a credit note.,
ExternalDocumentAmountType1Code,DUPA,DuePayable,Amount is due payable.,
ExternalDocumentAmountType1Code,PRIN,OutstandingPrincipal,Amount is the outstanding principal.,
ExternalDocumentAmountType1Code,TOTA,TotalPayment,Amount is the total.,
ExternalDocumentAmountType1Code,INTE,InterestPayment,Amount is the interest.,
ExternalDocumentAmountType1Code,ESCO,Escrow,Amount is in escrow.,
ExternalDocumentAmountType1Code,TAXS,Tax,Amount is tax.,
ExternalDocumentAmountType1Code,INSU,Insurance,Amount is insurance.,
ExternalDocumentAmountType1Code,OBAL,OutstandingBalance,Amount is the outstanding balance.,
ExternalDocumentAmountType1Code,SBAL,StatementBalance,Amount is the statement balance.,
ExternalDocumentAmountType1Code,MIDU,MinimumDue,Amount is the minimum due.,
ExternalDocumentAmountType1Code,PADU,PastDue,Amount is past due.,
ExternalDocumentAmountType1Code,CRTL,AvailableCredit,Amount is available credit.,
ExternalDocumentAmountType1Code,PBAL,PreviousBalance,Amount is the previous balance.,
ExternalDocumentAmountType1Code,CHAR,NewCharges,"Amount is new charges, for example new charges on a credit card.",
ExternalDocumentAmountType1Code,FEES,Fees,Amount is fees.,
ExternalDocumentAmountType1Code,INTC,InterestCharges,"Amount is interest charges, or example interest charges on a credit card.",
ExternalDocumentAmountType1Code,REMI,Remitted,Amount remitted.,
ExternalDocumentFormat1Code,DPDF,PDF,Document format is PDF.,
ExternalDocumentFormat1Code,DXML,XML,Document format is XML.,
ExternalDocumentFormat1Code,SDSH,Spreadsheet,Document format is a spreadsheet.,
ExternalDocumentFormat1Code,WORD,Word,Document format is Word.,
ExternalDocumentFormat1Code,XSLT,XSLT,Document format is XSLT.,
ExternalDocumentFormat1Code,DCSV,CSV,Document format is CSV.,
ExternalDocumentLineType1Code,ADPI,AdditionalProductIdentificationAssignedByTheManufacturer,Line item reference is an additional product identification assigned by the manufacturer.,
ExternalDocumentLineType1Code,AISB,AlternateISBN,Line item reference is an alternate International Standard Book Number (ISBN).,
ExternalDocumentLineType1Code,ASNB,AssetNumber,Line item reference is an asset number.,
ExternalDocumentLineType1Code,CTNB,CatalogNumber,Line item reference is a catalog number.,
ExternalDocumentLineType1Code,DBSP,DunBradstreetStandardProductAndServiceCode,Line item reference is Dun & Bradstreet Standard Product and Service code.,
ExternalDocumentLineType1Code,EANN,EuropeanArticleNumberEAN2551,Line item reference is an European Article Number (EAN).,
ExternalDocumentLineType1Code,EINB,EquipmentIdentificationNumber,Line item reference is an equipment identification number.,
ExternalDocumentLineType1Code,GSNB,GeneralSpecificationNumber,Line item reference is a general specification number.,
ExternalDocumentLineType1Code,HIBC,HIBCHealthCareIndustryBarCode,Line item reference is a Health Care Industry Bar Code (HIBC),
ExternalDocumentLineType1Code,ISBN,InternationalStandardBookNumberISBN,Line item reference is an International Standard Book Number (ISBN).,
ExternalDocumentLineType1Code,LTNB,LotNumber,Line item reference is a lot number.,
ExternalDocumentLineType1Code,MDNB,ModelNumber,Line item reference is a model number,
ExternalDocumentLineType1Code,PRNB,PartNumber,Line item reference is a part reference number.,
ExternalDocumentLineType1Code,PTCD,ProductTypeCode,Line item reference is a product type code.,
ExternalDocumentLineType1Code,SKNB,StockNumber,Line item reference is a stock number.,
ExternalDocumentLineType1Code,STNB,StyleNumber,Line item reference is a style number.,
ExternalDocumentLineType1Code,TONB,TechnicalOrderNumber,Line item reference is a technical order number.,
ExternalDocumentLineType1Code,UPCC,UPCConsumerPackageCode,Line item reference is an UPC consumer package code.,
ExternalDocumentLineType1Code,UPNB,UniversalProductNumber,Line item reference is an Universal Product Number.,
ExternalDocumentPurpose1Code,CONF,Confirmed,"The document represents a document that has been confirmed, for example an invoice that has been confirmed by the buyer for payment.
",
ExternalDocumentPurpose1Code,FINV,Factoredinvoice,The document represents an invoice submitted under a factoring arrangment. ,
ExternalDocumentType1Code,CINV,CommercialInvoice,Document is an invoice.,
ExternalDocumentType1Code,CNFA,CreditNoteRelatedToFinancialAdjustment,Document is a credit note for the final amount settled for a commercial transaction.,
ExternalDocumentType1Code,CONT,Contract,Document is a contract evidencing an agreement between the seller and buyer for the supply of goods and/or services.,
ExternalDocumentType1Code,CREN,CreditNote,Document is a credit note.,
ExternalDocumentType1Code,DEBN,DebitNote,Document is a debit note.,
ExternalDocumentType1Code,DISP,DispatchAdvice,Document is an advice of dispatch of the goods.,
ExternalDocumentType1Code,DNFA,DebitNoteRelatedToFinancialAdjustment,Document is a debit note for the final amount settled for a commercial transaction.,
ExternalDocumentType1Code,HIRI,HireInvoice,Document is an invoice for the hiring of human resources or renting goods or equipment.,
ExternalDocumentType1Code,INVS,InvoiceSigned,Document is a signed invoice.,
ExternalDocumentType1Code,MSIN,MeteredServiceInvoice,"Document is an invoice claiming payment for the supply of metered services, eg. Gas or electricity, supplied to a fixed meter.",
ExternalDocumentType1Code,PROF,ProformaInvoice,"In trade transactions, a pro forma invoice is a document that states a commitment from the seller to sell goods to the buyer at specified prices and terms. It is used to declare the value of the trade. It is not a true invoice, because it is not used to record accounts receivable for the seller and accounts payable for the buyer.",
ExternalDocumentType1Code,PUOR,PurchaseOrder,Document is a purchase order.,
ExternalDocumentType1Code,QUOT,Quotation,Document is a quotation setting out the conditions under which the goods and/or services are offered.,
ExternalDocumentType1Code,SBIN,SelfBilledInvoice,Document is a statement of the transactions posted to the debtor's account at the supplier.,
ExternalDocumentType1Code,SPRR,SellerPresentment,Document is a document presented by the seller in support of the procurement of goods and/or services.,
ExternalDocumentType1Code,TISH,TimeSheet,Document is a timesheet recording times for the provision of services and/or delivery of goods.,
ExternalDocumentType1Code,USAR,UsageReport,Document is a usage report indicating the consumption pattern for designated goods and/or services.,
ExternalDocumentType1Code,AROI,AccountReceivableOpenItem,Document is a payment that applies to a specific source document.,
ExternalDocumentType1Code,BOLD,BillOfLading,Document is a shipping notice.,
ExternalDocumentType1Code,CMCN,CommercialContract,"Document is an agreement between the parties, stipulating the terms and conditions of the delivery of goods or services.",
ExternalDocumentType1Code,SOAC,StatementOfAccount,Document is a statement of the transactions posted to the debtor's account at the supplier.,
ExternalDocumentType1Code,TSUT,TradeServicesUtilityTransaction,Document is a transaction identifier as assigned by the Trade Services Utility.,
ExternalDocumentType1Code,VCHR,Voucher,Document is an electronic payment document.,
ExternalEntryStatus1Code,BOOK,Booked,"Booked means that the transfer of money has been completed between account servicer and account owner.
Usage: Status Booked does not necessarily imply finality of money as this depends on other factors such as the payment system used, the completion of the end-to-end transaction and the terms agreed between account servicer and owner.
Status Booked is the only status that can be reversed.",
ExternalEntryStatus1Code,FUTR,Future,Entry is on the books of the account servicer and value will be applied to the account owner at a future date and time.,
ExternalEntryStatus1Code,INFO,Information,"Entry is only provided for information, and no booking on the account owner's account in the account servicer's ledger has been performed.",
ExternalEntryStatus1Code,PDNG,Pending,"Booking on the account owner's account in the account servicer's ledger has not been completed.
Usage: this can be used for expected items, or for items for which some conditions still need to be fulfilled before they can be booked. If booking takes place, the entry will be included with status Booked in subsequent account report or statement. Status Pending cannot be reversed.",
ExternalEntryStatus1Code,RJCT,Rejected,Entry was on the books of the account servicer and has been rejected.,
ExternalGarnishmentType1Code,GNCS,GarnishmentForChildSupport,Garnishment from a third party payer for Child Support,
ExternalGarnishmentType1Code,GNDP,GarnishmentForChildSupportFromDirectPayer,Garnishment from a direct payer for Child Support,
ExternalGarnishmentType1Code,GTPP,GarnishmentToTaxingAgency,Garnishment from a third party payer to taxing agency,
ExternalInformationType1Code,INST,ProcessingInstructions,Instructions used to ease automatic request processing.,
ExternalInformationType1Code,OTHR,OtherInformation,Additional information not otherwise specified.,
ExternalInformationType1Code,RELY,RelayInstructions,Instructions used to ease automatic request relay.,
ExternalInformationType1Code,SHPG,ShippingInformation,Additional shipping information not otherwise specified.,
ExternalInformationType1Code,SHPM,ShippingMarks,"Information concerning the letters, numbers or other symbols placed on the outside of cargo to facilitate identification.",
ExternalInformationType1Code,SLDC,SellerDomicileLocation,Information concerning the domicile location of the seller.,
ExternalMandateReason1Code,AC01,IncorrectAccountNumber,Format of the account number specified is not correct,
ExternalMandateReason1Code,AC04,ClosedAccountNumber,Account number specified has been closed on the Receiver's books,
ExternalMandateReason1Code,AC06,BlockedAccount,"Account specified is blocked, prohibiting posting of transactions against it.",
ExternalMandateReason1Code,AG01,TransactionForbidden,Transaction forbidden on this type of account (formerly NoAgreement),
ExternalMandateReason1Code,AG02,InvalidBankOperationCode,Bank Operation code specified in the message is not valid for receiver,
ExternalMandateReason1Code,AM02,NotAllowedAmount,Specific transaction/message amount is greater than allowed maximum,
ExternalMandateReason1Code,AM03,NotAllowedCurrency,Specified message amount is a non processable currency outside of existing agreement,
ExternalMandateReason1Code,AM05,Duplication,Duplication ,
ExternalMandateReason1Code,BE01,InconsistenWithEndCustomer,Identification of end customer is not consistent with associated account number. (formerly CreditorConsistency).,
ExternalMandateReason1Code,BE04,MissingCreditorAddress,"Specification of creditor's address, which is required for payment, is missing/not correct (formerly IncorrectCreditorAddress).",
ExternalMandateReason1Code,BE05,UnrecognisedInitiatingParty,Party who initiated the message is not recognised by the end customer,
ExternalMandateReason1Code,BE06,UnknownEndCustomer,End customer specified is not known at associated Sort/National Bank Code or does no longer exist in the books,
ExternalMandateReason1Code,BE07,MissingDebtorAddress,"Specification of debtor's address, which is required for payment, is missing/not correct.",
ExternalMandateReason1Code,DT01,InvalidDate,"Invalid date (eg, wrong settlement date)",
ExternalMandateReason1Code,FF01,InvalidFileFormat,File format incomplete or invalid,
ExternalMandateReason1Code,MD01,NoMandate,No Mandate,
ExternalMandateReason1Code,MD02,MissingMandatoryInformationInMandate,Mandate related information data required by the scheme is missing.,
ExternalMandateReason1Code,MD07,EndCustomerDeceased,End customer is deceased.,
ExternalMandateReason1Code,MD08,NoMandateServiceByAgent,Receiving agent does not offer specified Mandate services,
ExternalMandateReason1Code,MD09,NoMandateServiceOnCustomer,Account is not open to specified Mandates services,
ExternalMandateReason1Code,MD10,NoMandateServiceForSpecified,Account is not open to specified Mandates services for this particular creditor,
ExternalMandateReason1Code,MD11,UnrecognisedAgent,Agent to whom the message needs to be forwarded cannot be located,
ExternalMandateReason1Code,MD12,NotUniqueMandateReference,Mandate identification is not unique to the creditor,
ExternalMandateReason1Code,MD13,IncorrectCustomerAuthentication,There is a problem with the customer authentication,
ExternalMandateReason1Code,MD14,IncorrectAgent,Agent in the payment workflow is incorrect,
ExternalMandateReason1Code,MD15,IncorrectCurrency,Currency of the transaction is incorrect,
ExternalMandateReason1Code,MD16,RequestedByCustomer,Cancellation/amendment requested by the debtor,
ExternalMandateReason1Code,MD17,RequestedByInitiatingParty,Cancellation/amendment requested by the creditor,
ExternalMandateReason1Code,MD18,RequestedByInitiatingPartyAndCustomer,Cancellation/amendment requested by the creditor and the debtor,
ExternalMandateReason1Code,MD19,MandateCancelledDueToEarlySettlement,Mandate cancellation following early reimbursement of the debit by the debtor,
ExternalMandateReason1Code,MD20,MandateExpired,Mandate cancellation following validity expiration,
ExternalMandateReason1Code,MD21,MandateCancelledDueToFraud,Mandate cancellation due to suspected fraud,
ExternalMandateReason1Code,MD22,MandateInitiationCancelled,Mandate cancellation following mandate initiation cancellation,
ExternalMandateReason1Code,MD23,MandateAmendmentCancelled,Mandate cancellation following mandate amendment cancellation,
ExternalMandateReason1Code,MS02,NotSpecifiedReasonCustomerGenerated,Reason has not been specified by end customer,
ExternalMandateReason1Code,MS03,NotSpecifiedReasonAgentGenerated,Reason has not been specified by agent.,
ExternalMandateReason1Code,NARR,Narrative,Reason is provided as narrative information in the additional reason information.,
ExternalMandateReason1Code,RC01,BankIdentifierIncorrect,Bank Identifier code specified in the message has an incorrect format (formerly IncorrectFormatForRoutingCode).,
ExternalMandateReason1Code,RF01,NotUniqueTransactionReference,Transaction reference is not unique within the message.,
ExternalMandateReason1Code,RR01,MissingDebtorAccountOrIdentification,Specification of the debtor’s account or unique identification needed for reasons of regulatory requirements is insufficient or missing,
ExternalMandateReason1Code,RR02,MissingDebtorNameOrAddress,Specification of the debtor’s name and/or address needed for regulatory requirements is insufficient or missing.,
ExternalMandateReason1Code,RR03,MissingCreditorNameOrAddress,Specification of the creditor’s name and/or address needed for regulatory requirements is insufficient or missing.,
ExternalMandateReason1Code,RR04,RegulatoryReason,Regulatory Reason,
ExternalMandateReason1Code,SL01,SpecificServiceOfferedByDebtorAgent,Due to specific service offered by the Debtor Agent,
ExternalMandateReason1Code,SL11,CreditorNotOnWhitelistOfDebtor,Whitelisting service offered by the Debtor Agent; Debtor has not included the Creditor on its “Whitelist” (yet). In the Whitelist the Debtor may list all allowed Creditors to debit Debtor bank account.,
ExternalMandateReason1Code,SL12,CreditorOnBlacklistOfDebtor,Blacklisting service offered by the Debtor Agent; Debtor included the Creditor on his “Blacklist”. In the Blacklist the Debtor may list all Creditors not allowed to debit Debtor bank account.,
ExternalMandateReason1Code,SL13,MaximumNumberOfDirectDebitTransactionsExceeded,Due to Maximum allowed Direct Debit Transactions per period service offered by the Debtor Agent.,
ExternalMandateReason1Code,SL14,MaximumDirectDebitTransactionAmountExceeded,Due to Maximum allowed Direct Debit Transaction amount service offered by the Debtor Agent.,
