,,Enum Category,,OBErrorResponseError1Code,,,,,,
OBExternalScheduleType1Code,Arrival,Scheduled payment date is specified as the arrival date for the recipient.,,,,,,,,
OBExternalScheduleType1Code,Execution,Scheduled payment date is specified as the execution date.,,,,,,,,
OBExternalStatementType1Code,AccountClosure,Final account closure statement.,,,,,,,,
OBExternalStatementType1Code,AccountOpening,First statement provided for an account.,,,,,,,,
OBExternalStatementType1Code,Annual,Annual statement report.,,,,,,,,
OBExternalStatementType1Code,Interim,Adhoc or customised statement period.,,,,,,,,
OBExternalStatementType1Code,RegularPeriodic,Regular pre-agreed reporting statement.,,,,,,,,
OBFrequency7Code,YEAR,Annual,,,,,,,,
OBFrequency7Code,DAIL,Daily,,,,,,,,
OBFrequency7Code,INDA,Intra Day,,,,,,,,
OBFrequency7Code,MNTH,Monthly,,,,,,,,
OBFrequency7Code,QURT,Quarterly,,,,,,,,
OBFrequency7Code,MIAN,Semi Annual,,,,,,,,
OBFrequency7Code,TEND,Ten Days ,,,,,,,,
OBFrequency7Code,MOVE,Triggered By Movement ,,,,,,,,
OBFrequency7Code,WEEK,Weekly,,,,,,,,
OBExternalCommunicationMethod2Code ,EMAL,Email ,,,,,,,,
OBExternalCommunicationMethod2Code ,FAXI,Fax ,,,,,,,,
OBExternalCommunicationMethod2Code ,FILE,File,,,,,,,,
OBExternalCommunicationMethod2Code ,ONLI,Online ,,,,,,,,
OBExternalCommunicationMethod2Code ,POST,Postal Service ,,,,,,,,
OBExternalDocumentFormat1Code,DPDF,PDF,Document format is PDF.,,,,,,,
OBExternalDocumentFormat1Code,DXML,XML,Document format is XML.,,,,,,,
OBExternalDocumentFormat1Code,SDSH,Spreadsheet,Document format is a spreadsheet.,,,,,,,
OBExternalDocumentFormat1Code,WORD,Word,Document format is Word.,,,,,,,
OBExternalDocumentFormat1Code,XSLT,XSLT,Document format is XSLT.,,,,,,,
OBExternalLimitType1Code,Available,The amount of credit limit available to the account holder,,,,,,,,
OBExternalLimitType1Code,Credit,The amount of a credit limit that has been agreed with the account holder,,,,,,,,
OBExternalLimitType1Code,Emergency,"The amount of an arranged lending limit that can be borrowed on top of pre-agreed lending, that has been agreed with the account holder",,,,,,,,
OBExternalLimitType1Code,Pre-Agreed,The amount of an arranged lending limit that has been agreed with the account holder,,,,,,,,
OBExternalLimitType1Code,Temporary,The amount of a temporary lending limit that has been agreed with the account holder,,,,,,,,
OBChargeBearerType1Code,BorneByCreditor,All transaction charges are to be borne by the creditor.,,,,,,,,
OBChargeBearerType1Code,BorneByDebtor,All transaction charges are to be borne by the debtor.,,,,,,,,
OBChargeBearerType1Code,FollowingServiceLevel,Charges are to be applied following the rules agreed in the service level and/or scheme.,,,,,,,,
OBChargeBearerType1Code,Shared,"In a credit transfer context, means that transaction charges on the sender side are to be borne by the debtor, transaction charges on the receiver side are to be borne by the creditor. In a direct debit context, means that transaction charges on the sender side are to be borne by the creditor, transaction charges on the receiver side are to be borne by the debtor.",,,,,,,,
OBBeneficiaryType1Code,Trusted ,,,,,,,,,
OBBeneficiaryType1Code,Ordinary,,,,,,,,,
OBExternalStatementFeeFrequency1Code,UK.OB.ChargingPeriod   ,,,,,,,,,
OBExternalStatementFeeFrequency1Code,UK.OB.PerTransactionAmount ,,,,,,,,,
OBExternalStatementFeeFrequency1Code,UK.OB.PerTransactionPercentage,,,,,,,,,
OBExternalStatementFeeFrequency1Code,UK.OB.Quarterly,,,,,,,,,
OBExternalStatementFeeFrequency1Code,UK.OB.StatementMonthly,,,,,,,,,
OBExternalStatementFeeFrequency1Code, UK.OB.Weekly,,,,,,,,,
OBExternalStatementFeeRateType1Code,UK.OB.AER,,,,,,,,,
OBExternalStatementFeeRateType1Code,UK.OB.EAR,,,,,,,,,
OBExternalExtendedAccountType1Code,Personal,,,,,,,,,
OBExternalExtendedAccountType1Code,JointPersonal,,,,,,,,,
OBExternalExtendedAccountType1Code,PersonalSavingsAccount,,,,,,,,,
OBExternalExtendedAccountType1Code,Business,,,,,,,,,
OBExternalExtendedAccountType1Code,BusinessSavingsAccount,,,,,,,,,
OBExternalExtendedAccountType1Code,Charity,,,,,,,,,
OBExternalExtendedAccountType1Code,Collection,,,,,,,,,
OBExternalExtendedAccountType1Code,Corporate,,,,,,,,,
OBExternalExtendedAccountType1Code,Government,,,,,,,,,
OBExternalExtendedAccountType1Code,Ewallet,,,,,,,,,
OBExternalExtendedAccountType1Code,Investment,,,,,,,,,
OBExternalExtendedAccountType1Code,ISA,,,,,,,,,
OBExternalExtendedAccountType1Code,Premier,,,,,,,,,
OBExternalExtendedAccountType1Code,Wealth,,,,,,,,,
OBExternalExtendedAccountType1Code,Pension,,,,,,,,,
OBExternalPaymentContext1Code,BillingGoodsAndServicesInAdvance,,,,,,,,,
OBExternalPaymentContext1Code,BillingGoodsAndServicesInArrears,,,,,,,,,
OBExternalPaymentContext1Code,EcommerceMerchantInitiatedPayment,,,,,,,,,
OBExternalPaymentContext1Code,FaceToFacePointOfSale,,,,,,,,,
OBExternalPaymentContext1Code,TransferToSelf,,,,,,,,,
OBExternalPaymentContext1Code,TransferToThirdParty,,,,,,,,,
OBExternalAuthorisation1Code,Any,Any authorisation type is requested.,,,,,,,,
OBExternalAuthorisation1Code,Single,Single authorisation type is requested.,,,,,,,,
OBInternalStatus2Code,AWAF,Awaiting Further Authorisation,The multiple authorisation flow is awaiting further authorisation.,,Old OBExternalStatus2Code,,,,,
OBInternalStatus2Code,RJCT,Rejected,The multiple authorisation flow has been rejected.,,Old OBExternalStatus2Code,,,,,
OBInternalStatus2Code,AUTH,Authorised,The multiple authorisation flow has been fully authorised.,,Old OBExternalStatus2Code,,,,,
OBInternalAppliedAuthenticationApproach1Code,CA,Single Factor Strong Customer Authentication,,,OBExternalAppliedAuthenticationApproach1Code,,,,,
OBInternalAppliedAuthenticationApproach1Code,SCA,Multi Factor Strong Customer Authentication,,,OBExternalAppliedAuthenticationApproach1Code,,,,,
OBInternalSCAExemptionType1Code,BillPayment,Bill Payment,,,OBExternalSCAExemptionType1Code,,,,,
OBInternalSCAExemptionType1Code,ContactlessTravel,Contactless Travel,,,OBExternalSCAExemptionType1Code,,,,,
OBInternalSCAExemptionType1Code,EcommerceGoods,Ecommerce Goods,,,OBExternalSCAExemptionType1Code,,,,,
OBInternalSCAExemptionType1Code,EcommerceServices,Ecommerce Services,,,OBExternalSCAExemptionType1Code,,,,,
OBInternalSCAExemptionType1Code,Kiosk,Kiosk,,,OBExternalSCAExemptionType1Code,,,,,
OBInternalSCAExemptionType1Code,Parking,Parking,,,OBExternalSCAExemptionType1Code,,,,,
OBInternalSCAExemptionType1Code,PartyToParty,Party to Party,,,OBExternalSCAExemptionType1Code,,,,,
OBExternalPaymentContext1Code,Other,The context of the payment initiation is of an other type.,,,,,,,,
OBExternalAuthorisation1Code,Multiple,Multiple authorisation type is requested.,,,,,,,,
OBExchangeRateType2Code ,Actual,Exchange rate is the actual rate.,,,,,,,,
OBExchangeRateType2Code ,Agreed,Exchange rate is the agreed rate between the parties.,,,,,,,,
OBExchangeRateType2Code ,Indicative,Exchange rate is the indicative rate.,,,,,,,,
OBPriority2Code,Normal,Priority is normal.,,,,,,,,
OBPriority2Code,Urgent,Priority is urgent.,,,,,,,,
OBExternalStatus1Code,InitiationCompleted,The payment-order initiation has been completed.,,,,,,,,
OBExternalStatus1Code,InitiationFailed,The payment-order initiation has failed.,,,,,,,,
OBExternalStatus1Code,InitiationPending,The payment-order initiation is pending.,,,,,,,,
OBExternalStatus3Code,Cancelled,Payment initiation has been successfully cancelled after having received a request for cancellation.,,,,,,,,
"OBExternalPaymentContext1Code	",Bill Payment,The context of the payment initiation is a bill payment.,,,,,,,,
"OBExternalPaymentContext1Code	",EcommerceGoods,The context of the payment initiation is for goods via an ecommerce channel.,,,,,,,,
"OBExternalPaymentContext1Code	",EcommerceServices,The context of the payment initiation is for services via an ecommerce channel.,,,,,,,,
"OBExternalPaymentContext1Code	",PartyToParty,The context of the payment initiation is a party to party payment.,,,,,,,,
OBExternalPaymentContext1Code,Other,The context of the payment initiation is of an other type.,,,,,,,,
OBExternalStatus3Code,InitiationCompleted,The payment-order initiation has been completed.,,,,,,,,
OBExternalStatus3Code,InitiationFailed,The payment-order initiation has failed.,,,,,,,,
OBExternalStatus3Code,InitiationPending,The payment-order initiation is pending.,,,,,,,,
OBReadRefundAccount1Code,Yes,Yes,,,,,,,,
OBReadRefundAccount1Code,No,No,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
