Code Set,Code Value,Code Name,Code Definition,HTTP Status Category,Description
OBExternalStatusReason1Code,U011,UK.OBIE.Resource.NotFound,Resource cannot be found,400,Returned when a resource with the specified Id does not exist (and hence could not be operated upon).
OBExternalStatusReason1Code,U012,UK.OBIE.Rules.AfterCutOffDateTime,Payment received after cutoff date and time,400,{payment-order} consent / resource received after CutOffDateTime
OBExternalStatusReason1Code,U013,UK.OBIE.Rules.DuplicateReference,Reference found is duplicate,400,A duplicate reference has been used for a CBPII confirmation of funds request.
OBExternalStatusReason1Code,U014,UK.OBIE.Rules.FailsControlParameters,Payment outside control parameters,400,A payment breaches a limitation set by one or more ControlParameters.
OBExternalStatusReason1Code,U015,UK.OBIE.Signature.Invalid,Invalid signature,400,"The signature header x-jws-signature was parsed and has a valid JOSE header that complies with the specification. However, the signature itself could not be verified."
OBExternalStatusReason1Code,U016,UK.OBIE.Signature.InvalidClaim,Invalid claim in a signature,400,The JOSE header in the x-jws-signature has one or more claims with an invalid value. (e.g. a kid that does not resolve to a valid certificate). The name of the missing claim should be specified in the path field of the error response.
OBExternalStatusReason1Code,U017,UK.OBIE.Signature.MissingClaim,Invalid or missing claim in a signature,400,The JOSE header in the x-jws-signature has one or more mandatory claim(s) that are not specified. The name of the missing claim(s) should be specified in the path field of the error response.
OBExternalStatusReason1Code,U018,UK.OBIE.Signature.Malformed,Signature is malformed,400,The x-jws-signature in the request header was malformed and could not be parsed as a valid JWS.
OBExternalStatusReason1Code,U019,UK.OBIE.Signature.Missing,Missing information related to signature,400,"The API request expected an x-jws-signature in the header, but it was missing."
OBExternalStatusReason1Code,U020,UK.OBIE.Signature.Unexpected,Signature was not expected in header but was provided,400,"The API request was not expecting to receive an x-jws-signature in the header, but the TPP made a request that included an x-jws-signature."
OBExternalStatusReason1Code,U021,UK.OBIE.Unsupported.AccountIdentifier,Unsupported account identified has been provided,400,"The account identifier is unsupported for the given scheme.
The path element should be populated with the path of the AccountIdentifier."
OBExternalStatusReason1Code,U022,UK.OBIE.Unsupported.AccountSecondaryIdentifier,Unsupported secondary account identified has been provided,400,"The account secondary identifier is unsupported for the given scheme.
The path element should be populated with the path of the AccountSecondaryIdentifier."
OBExternalStatusReason1Code,U023,UK.OBIE.Unsupported.Currency,Unsupported currency is provided. Also use U002 (UK.OBIE.Field.Invalid) or provide path.,400,"The currency is not supported. Use U002 (UK.OBIE.Field.Invalid) for invalid Currency.
The path element should be populated with the path of the Currency.
The URL should be populated with a link to ASPSP documentation listing out the supported currencies."
OBExternalStatusReason1Code,U024,UK.OBIE.Unsupported.EventType,Unsupported event type,400,"Event Type is not supported.
The path element should be populated with the path of the EventType.
The URL should be populated with a link to ASPSP documentation listing out the supported Event Types."
OBExternalStatusReason1Code,U025,UK.OBIE.Unsupported.Frequency,Unsupported frequency,400,"Frequency is not supported.
The path element should be populated with the path of the Frequency.
The URL should be populated with a link to ASPSP documentation listing out the supported frequencies."
OBExternalStatusReason1Code,U026,UK.OBIE.Unsupported.LocalInstrument,Unsupported localInstrument,400,"LocalInstrument is not supported by the ASPSP.
The path element should be populated with the path of the LocalInstrument.
The URL should be populated with a link to ASPSP documentation listing out the supported local instruments."
OBExternalStatusReason1Code,U027,UK.OBIE.Unsupported.Scheme,Unsupported scheme,400,Identification scheme is not supported. The path element should be populated with the path of the scheme. The URL should be populated with a link to ASPSP documentation listing out the supported schemes.
OBExternalStatusReason1Code,U028,UK.OBIE.Reauthenticate,Reauthentication is required by PSU,403,The ASPSP must use this error code in Error Response to indicate that re-authentication by the PSU is required to process the request.
OBExternalStatusReason1Code,U029,UK.OBIE.Rules.ResourceAlreadyExists,Duplicate resource submitted,409,"The ASPSP must use this error code in Error Response, to indicate that a resource with same parameters already exists, or in a state that doesn't allow requested operation."
OBExternalStatusReason1Code,U000,UK.OBIE.UnexpectedError,Can use this in conjunction with NARR code to specific the specific unexpected error,5xx,"An error code that can be used, when an unexpected error occurs.
The ASPSP must populate the message with a meaningful error description, without revealing sensitive information."
OBInternalAccountType1Code,Personal,Personal,Specifies that the type of account is personal.,,
OBInternalAccountType1Code,Business,Business,Specifies that the type of account is business.,,
OBInternalConsentStatus1Code,AWAU,Awaiting Authorisation,The consent resource is awaiting PSU authorisation.,,
OBInternalConsentStatus1Code,RJCT,Rejected,The consent resource has been rejected.,,
OBInternalConsentStatus1Code,AUTH,Authorised,The consent resource has been successfully authorised.,,
OBInternalConsentStatus1Code,CANC,Cancelled,The access has been cancelled at the ASPSP by either the PSU or the ASPSP.,,
OBInternalConsentStatus1Code,EXPD,Expired,The consent resource has been marked as expired after expiry of validaty date.,,
OBInternalConsentStatus1Code,COND,Consumed,The consent resource has been consumed after payment request is submitted by the PISP.,,
OBInternalConsentStatus1Code,AWUP,AwaitingUpload,The consent resource is expecting a file to be uploaded.,,
ExternalPaymentTransactionStatus1Code,INFA,InitiationFailed,Standing order has been setup successfully but the individual payment has failed ,,
ExternalPaymentTransactionStatus1Code,INCO,InitiationCompleted,Standing order has been setup successfully and the individual payment has been successfully completed. ,,
ExternalPaymentGroupStatus1Code,ACCP,AcceptedCustomerProfile,Preceding check of technical validation was successful. Customer profile check was also successful.,,
ExternalPaymentGroupStatus1Code,ACCC,AcceptedSettlementCompletedCreditorAccount,Settlement on the creditor's account has been completed.,,
ExternalPaymentGroupStatus1Code,ACSC,AcceptedSettlementCompletedDebitorAccount,"Settlement on the debtor's account has been completed.
Usage : this can be used by the first agent to report to the debtor that the transaction has been completed. 
Warning : this status is provided for transaction status reasons, not for financial information. It can only be used after bilateral agreement
",,
ExternalPaymentGroupStatus1Code,ACSP,AcceptedSettlementInProcess,All preceding checks such as technical validation and customer profile were successful and therefore the payment initiation has been accepted for execution.,,
ExternalPaymentGroupStatus1Code,ACTC,AcceptedTechnicalValidation,Authentication and syntactical and semantical validation are successful,,
ExternalPaymentGroupStatus1Code,ACWC,AcceptedWithChange,"Instruction is accepted but a change will be made, such as date or remittance not sent.",,
ExternalPaymentGroupStatus1Code,PART,PartiallyAccepted,"A number of transactions have been accepted, whereas another number of transactions have not yet achieved
'accepted' status.",,
ExternalPaymentGroupStatus1Code,PDNG,Pending,Payment initiation or individual transaction included in the payment initiation is pending. Further checks and status update will be performed.,,
ExternalPaymentGroupStatus1Code,RCVD,Received,Payment initiation has been received by the receiving agent,,
ExternalPaymentGroupStatus1Code,RJCT,Rejected,Payment initiation or individual transaction included in the payment initiation has been rejected.,,
ExternalPaymentGroupStatus1Code,INFA,InitiationFailed,FilePayment initiation has failed in part of full.,,
ExternalPaymentGroupStatus1Code,INCO,InitiationCompleted,FilePayment initiation has been successfully completed but refer to individual transactions for individual status. ,,
OBExternalStatusReason1Code,0080,Expected within unspecified period but within PSD guidelines,,,
OBExternalStatusReason1Code,0081,Expected on same day,,,
OBExternalStatusReason1Code,0082,Expected on next Calendar Day,,,
OBExternalStatusReason1Code,0083,Expected on next Working Day,,,
OBExternalStatusReason1Code,0084,Expected after next working day but within PSD guidelines,,,
OBExternalStatusReason1Code,1100,Payment rejected by receiving bank,,,
OBExternalStatusReason1Code,1161,Receiving account stopped,,,
OBExternalStatusReason1Code,1162,Receiving account name does npt match,,,
OBExternalStatusReason1Code,1163,Account requires reference data,,,
OBExternalStatusReason1Code,1165,Account is not in currency quoted. Check receiving account details,,,
OBExternalStatusReason1Code,1166,Account transferred. Check receiving account details,,,
OBExternalStatusReason1Code,1177,Receiving agency account closed,,,
OBExternalStatusReason1Code,1178,Receiving agency account stopped,,,
OBExternalStatusReason1Code,1180,Account transferred. Check receiving account details,,,
OBExternalStatusReason1Code,1181,Duplicate Payment (FPID). Resubmitting with change,,,
OBExternalStatusReason1Code,0000,Credited to beneficiary account,,,
OBExternalStatusReason1Code,U030,Payment order successfully received,,,
OBExternalStatusReason1Code,U031,All checks yet to start,,,
OBExternalStatusReason1Code,U032,Customer profile checks completed,,,
OBExternalStatusReason1Code,U033,Authorisation failed,,,
OBExternalStatusReason1Code,U034,Debit to Debtor's account completed. Sent to next agent/scheme,,,
OBExternalStatusReason1Code,U035,Consent already consumed,,,
OBExternalStatusReason1Code,U036,Authorisation not completed,,,
OBExternalStatusReason1Code,U037,Authorisation failed by one of the authenticators,,,
OBExternalStatusReason1Code,U038,Consent consumed successfully,,,
OBExternalStatusReason1Code,U039,Reinstate not allowed any more.,,,
OBExternalStatusReason1Code,U040,Awaiting multiple authentication,,,
OBExternalStatusReason1Code,U041,UK.OBIE.ExemptionNotApplied,Reason when exemption could not applied for the status of a VRP.,,
OBExternalStatusReason1Code,U042,UK.OBIE.OtherReason,Use U042(UK.OBIE.OtherReason) only in scenarios where the actual reason cannot be determined or disclosed.,,
ExternalPaymentTransactionStatus1Code,ACCC,AcceptedSettlementCompletedCreditorAccount,Settlement on the creditor's account has been completed.,,
ExternalPaymentTransactionStatus1Code,ACCP,AcceptedCustomerProfile,Preceding check of technical validation was successful. Customer profile check was also successful.,,
ExternalPaymentTransactionStatus1Code,ACFC,AcceptedFundsChecked,Preceding check of technical validation and customer profile was successful and an automatic funds check was positive.,,
ExternalPaymentTransactionStatus1Code,ACSC,AcceptedSettlementCompletedDebitorAccount,"Settlement completed.
Usage : this can be used by a Market Infrastructure reporting to Infrastructure Participant or an Account Servicer to Account Owner to report that the transaction account entry has been completed.
Warning : this status is provided for transaction status reasons, not for financial information. It can only be used after bilateral agreement
",,
ExternalPaymentTransactionStatus1Code,ACSP,AcceptedSettlementInProcess,All preceding checks such as technical validation and customer profile were successful and therefore the payment instruction has been accepted for execution.,,
ExternalPaymentTransactionStatus1Code,ACTC,AcceptedTechnicalValidation,Authentication and syntactical and semantical validation are successful,,
ExternalPaymentTransactionStatus1Code,ACWC,AcceptedWithChange,"Instruction is accepted but a change will be made, such as date or remittance not sent.",,
ExternalPaymentTransactionStatus1Code,ACWP,AcceptedWithoutPosting,Payment instruction included in the credit transfer is accepted without being posted to the creditor customer’s account.,,
ExternalPaymentTransactionStatus1Code,BLCK,Blocked,"Payment transaction previously reported with status 'ACWP' is blocked, for example, funds will neither be posted to the Creditor's account, nor be returned to the Debtor.",,
ExternalPaymentTransactionStatus1Code,CANC,Cancelled,"Payment initiation has been successfully cancelled after having received a request for cancellation.
Usage: code to be used in the context of APIs only.",,
ExternalPaymentTransactionStatus1Code,PATC,PartiallyAcceptedTechnicalCorrect,"Payment initiation needs multiple authentications, where some but not yet all have been performed. Syntactical and semantical validations are successful.",,
ExternalPaymentTransactionStatus1Code,PDNG,Pending,Payment instruction is pending. Further checks and status update will be performed.,,
ExternalPaymentTransactionStatus1Code,RCVD,Received,Payment instruction has been received.,,
ExternalPaymentTransactionStatus1Code,RJCT,Rejected,Payment instruction has been rejected.,,
OBAddressType2Code,BIZZ,Business,Address is the business address,,
OBAddressType2Code,DLVY,Delivery,Address is the address to which delivery is to take place.,,
OBAddressType2Code,MLTO,Mail To,Address is the address to which mail is sent.,,
OBAddressType2Code,PBOX,PO Box,Address is a postal office (PO) box.,,
OBAddressType2Code,ADDR,Postal,Address is the complete postal address.,,
OBAddressType2Code,HOME,Residential,Address is the home address.,,
OBAddressType2Code,CORR,Correspondence,Address is the address where the correspondence is sent.,,
OBAddressType2Code,STAT,Statement,Address is the address where statements are sent.,,
OBFrequency2Code,YEAR,Annual,Event takes place every year or once a year.,,
OBFrequency2Code,DAIL,Daily,Event takes place every day.,,
OBFrequency2Code,INDA,Intra-day,Event takes place several times a day.,,
OBFrequency2Code,MNTH,Monthly,Event takes place every month or once a month.,,
OBFrequency2Code,QURT,Quarterly,Event takes place every three months or four times a year.,,
OBFrequency2Code,MIAN,Semi-annual,Event takes place every six months or two times a year.,,
OBFrequency2Code,TEND,Ten days,Event takes place every ten business days.,,
OBFrequency2Code,MOVE,Triggered by Movement,"Event takes place at the end of the day if there was a movement on the account, otherwise nothing is sent that day.",,
OBFrequency2Code,WEEK,Weekly,Event takes place once a week.,,
OBExternalOfferType1Code,BalanceTransfer,BalanceTransfer,Offer is a balance transfer.,,
OBExternalOfferType1Code,LimitIncrease,LimitIncrease,Offer is a limit increase.,,
OBExternalOfferType1Code,MoneyTransfer,MoneyTransfer,Offer is a money transfer.,,
OBExternalOfferType1Code,Other,Other,Offer is of an other type.,,
OBExternalOfferType1Code,PromotionalRate,PromotionalRate,Offer is a promotional rate.,,
OBExternalCommunicationMethod2Code ,EMAL,Email ,,,
OBExternalCommunicationMethod2Code ,FAXI,Fax ,,,
OBExternalCommunicationMethod2Code ,FILE,File,,,
OBExternalCommunicationMethod2Code ,ONLI,Online ,,,
OBExternalCommunicationMethod2Code ,POST,Postal Service ,,,
OBInternalPaymentContext1Code,BillingGoodsAndServicesInAdvance,Specifies the payment context,,,
OBInternalPaymentContext1Code,BillingGoodsAndServicesInArrears,Specifies the payment context,,,
OBInternalPaymentContext1Code,EcommerceMerchantInitiatedPayment,Specifies the payment context,,,
OBInternalPaymentContext1Code,FaceToFacePointOfSale,Specifies the payment context,,,
OBInternalPaymentContext1Code,TransferToSelf,Specifies the payment context,,,
OBInternalPaymentContext1Code,TransferToThirdParty,Specifies the payment context,,,
OBInternalStatus2Code,AWAF,Awaiting Further Authorisation,The multiple authorisation flow is awaiting further authorisation.,,Old OBExternalStatus2Code
OBInternalStatus2Code,RJCT,Rejected,The multiple authorisation flow has been rejected.,,Old OBExternalStatus2Code
OBInternalStatus2Code,AUTH,Authorised,The multiple authorisation flow has been fully authorised.,,Old OBExternalStatus2Code
OBExternalAuthorisation1Code,Multiple,Multiple authorisation type is requested.,,,
OBExternalStatus3Code,Cancelled,Payment initiation has been successfully cancelled after having received a request for cancellation.,,,
OBFrequency6Code,ADHO,Adhoc,Event takes place on request or as necessary.,,
OBFrequency6Code,YEAR,Annual,Event takes place every year or once a year.,,
OBFrequency6Code,DAIL,Daily,Event takes place every day.,,
OBFrequency6Code,FRTN,Fortnightly,Event takes place every two weeks.,,
OBFrequency6Code,INDA,Intra Day,Event takes place several times a day.,,
OBFrequency6Code,MNTH,Monthly,Event takes place every month or once a month.,,
OBFrequency6Code,QURT,Quarterly,Event takes place every three months or four times a year.,,
OBFrequency6Code,MIAN,Semi Annual,Event takes place every six months or two times a year.,,
OBFrequency6Code,WEEK,Weekly,Event takes place once a week.,,
OBFrequency6Code,WODL,Working day,Event takes place every working day,,
OBFrequency6Code,FOWK,Four weekly,Event takes place every four weeks,,
OBFrequency6Code,TWMH,Two monthly,Event takes place after every 2 months,,
OBFrequency6Code,FOMH,Four monthly,Event takes place after every 4 months,,
OBFrequency6Code,FIMH,Five monthly,Event takes place after every 5 months,,
OBFrequency6Code,ALMH,Alternate month,Event takes place after every alternate month,,
OBFrequency6Code,NONE,Not known / Not available,When frequency is not available (for e.g. for DD),,
OBExternalCashAccountType1Code,CACC,Current,Account used to post debits and credits when no specific account has been nominated.,,
OBExternalCashAccountType1Code,CARD,CardAccount,Account used for credit card payments.,,
OBExternalCashAccountType1Code,CASH,CashPayment,Account used for the payment of cash.,,
OBExternalCashAccountType1Code,CHAR,Charges,"Account used for charges if different from the account for
payment.",,
OBExternalCashAccountType1Code,CISH,CashIncome,Account used for payment of income if different from the current cash account,,
OBExternalCashAccountType1Code,COMM,Commission,"Account used for commission if different from the account
for payment.",,
OBExternalCashAccountType1Code,CPAC,ClearingParticipantSettlementAccount,Account used to post settlement debit and credit entries on behalf of a designated Clearing Participant.,,
OBExternalCashAccountType1Code,LLSV,LimitedLiquiditySavingsAccount,Account used for savings with special interest and withdrawal terms.  ,,
OBExternalCashAccountType1Code,LOAN,Loan,Account used for loans.,,
OBExternalCashAccountType1Code,MGLD,MarginalLending,Account used for a marginal lending facility.,,
OBExternalCashAccountType1Code,MOMA,MoneyMarket,"Account used for money markets if different from the cash
account.",,
OBExternalCashAccountType1Code,NREX,NonResidentExternal,Account used for non-resident external.,,
OBExternalCashAccountType1Code,ODFT,Overdraft,Account is used for overdrafts.,,
OBExternalCashAccountType1Code,ONDP,OverNightDeposit,Account used for overnight deposits.,,
OBExternalCashAccountType1Code,OTHR,OtherAccount,Account not otherwise specified. ,,
OBExternalCashAccountType1Code,SACC,Settlement,"Account used to post debit and credit entries, as a result of transactions cleared and settled through a specific clearing and settlement system.",,
OBExternalCashAccountType1Code,SLRY,Salary,Accounts used for salary payments.,,
OBExternalCashAccountType1Code,SVGS,Savings,Account used for savings.,,
OBExternalCashAccountType1Code,TAXE,Tax,"Account used for taxes if different from the account for
payment.",,
OBExternalCashAccountType1Code,TRAN,TransactingAccount,A transacting account is the most basic type of bank account that you can get. The main difference between transaction and cheque accounts is that you usually do not get a cheque book with your transacting account and neither are you offered an overdraft facility.,,
OBExternalCashAccountType1Code,TRAS,CashTrading,"Account used for trading if different from the current cash
account.",,
OBExternalCashAccountType1Code,VACC,VirtualAccount,Account created virtually to facilitate collection and reconciliation.,,
OBExternalCashAccountType1Code,NFCA,NonResidentForeignCurrencyAccount,Non-Resident Individual / Entity Foreign Current held domestically.,,
OBExternalCashAccountType1Code,MORT,Mortgage Account,Account is used for mortgage account,,
OBExternalCashAccountType1Code,WALT,Wallet,Account is a virtual wallet.,,
OBExternalStatusReason1Code,AB01,AbortedClearingTimeout,Clearing process aborted due to timeout.   ,,
OBExternalStatusReason1Code,AB02,AbortedClearingFatalError,Clearing process aborted due to a fatal error.   ,,
OBExternalStatusReason1Code,AB03,AbortedSettlementTimeout,Settlement aborted due to timeout.   ,,
OBExternalStatusReason1Code,AB04,AbortedSettlementFatalError,Settlement process aborted due to a fatal error.   ,,
OBExternalStatusReason1Code,AB05,TimeoutCreditorAgent,Transaction stopped due to timeout at the Creditor Agent.,,
OBExternalStatusReason1Code,AB06,TimeoutInstructedAgent,Transaction stopped due to timeout at the Instructed Agent.,,
OBExternalStatusReason1Code,AB07,OfflineAgent,"Agent of message is not online.
Generic usage if it cannot be determined who exactly is not online.",,
OBExternalStatusReason1Code,AB08,OfflineCreditorAgent,Creditor Agent is not online.,,
OBExternalStatusReason1Code,AB09,ErrorCreditorAgent,Transaction stopped due to error at the Creditor Agent.,,
OBExternalStatusReason1Code,AB10,ErrorInstructedAgent,Transaction stopped due to error at the Instructed Agent.,,
OBExternalStatusReason1Code,AB11,TimeoutDebtorAgent,Transaction stopped due to timeout at the Debtor Agent.,,
OBExternalStatusReason1Code,AC01,IncorrectAccountNumber,"Account number is invalid or missing.
",,
OBExternalStatusReason1Code,AC02,InvalidDebtorAccountNumber,Debtor account number invalid or missing,,
OBExternalStatusReason1Code,AC03,InvalidCreditorAccountNumber,Creditor account number invalid or missing,,
OBExternalStatusReason1Code,AC04,ClosedAccountNumber,Account number specified has been closed on the bank of account's books. ,,
OBExternalStatusReason1Code,AC05,ClosedDebtorAccountNumber,Debtor account number closed,,
OBExternalStatusReason1Code,AC06,BlockedAccount,"Account specified is blocked, prohibiting posting of transactions against it.",,
OBExternalStatusReason1Code,AC07,ClosedCreditorAccountNumber,Creditor account number closed,,
OBExternalStatusReason1Code,AC08,InvalidBranchCode,Branch code is invalid or missing,,
OBExternalStatusReason1Code,AC09,InvalidAccountCurrency,Account currency is invalid or missing,,
OBExternalStatusReason1Code,AC10,InvalidDebtorAccountCurrency,Debtor account currency is invalid or missing,,
OBExternalStatusReason1Code,AC11,InvalidCreditorAccountCurrency,Creditor account currency is invalid or missing,,
OBExternalStatusReason1Code,AC12,InvalidAccountType,"Account type missing or invalid.
Generic usage if cannot specify between group and payment information levels",,
OBExternalStatusReason1Code,AC13,InvalidDebtorAccountType,Debtor account type missing or invalid,,
OBExternalStatusReason1Code,AC14,InvalidCreditorAccountType,Creditor account type missing or invalid,,
OBExternalStatusReason1Code,AC15,AccountDetailsChanged,The account details for the counterparty have changed.,,
OBExternalStatusReason1Code,AC16,CardNumberInvalid,Credit or debit card number is invalid.,,
OBExternalStatusReason1Code,AG01,TransactionForbidden,Transaction forbidden on this type of account (formerly NoAgreement),,
OBExternalStatusReason1Code,AG02,InvalidBankOperationCode,Bank Operation code specified in the message is not valid for receiver,,
OBExternalStatusReason1Code,AG03,TransactionNotSupported,Transaction type not supported/authorized on this account ,,
OBExternalStatusReason1Code,AG04,InvalidAgentCountry,"Agent country code is missing or invalid.
Generic usage if cannot specify between group and payment information levels.",,
OBExternalStatusReason1Code,AG05,InvalidDebtorAgentCountry,Debtor agent country code is missing or invalid,,
OBExternalStatusReason1Code,AG06,InvalidCreditorAgentCountry,Creditor agent country code is missing or invalid,,
OBExternalStatusReason1Code,AG07,UnsuccesfulDirectDebit,"Debtor account cannot be debited for a generic reason.
Code value may be used in general purposes and as a replacement for AM04 if debtor bank does not reveal its customer's insufficient funds for privacy reasons",,
OBExternalStatusReason1Code,AG08,InvalidAccessRights,Transaction failed due to invalid or missing user or access right,,
OBExternalStatusReason1Code,AG09,PaymentNotReceived,Original payment never received.,,
OBExternalStatusReason1Code,AG10,AgentSuspended,"Agent of message is suspended from the Real Time Payment system.
Generic usage if it cannot be determined who exactly is suspended.",,
OBExternalStatusReason1Code,AG11,CreditorAgentSuspended,Creditor Agent of message is suspended from the Real Time Payment system.,,
OBExternalStatusReason1Code,AG12,NotAllowedBookTransfer,Payment orders made by transferring funds from one account to another at the same financial institution (bank or payment institution) are not allowed.,,
OBExternalStatusReason1Code,AG13,ForbiddenReturnPayment,Returned payments derived from previously returned transactions are not allowed.,,
OBExternalStatusReason1Code,AGNT,IncorrectAgent,Agent in the payment workflow is incorrect,,
OBExternalStatusReason1Code,AM01,ZeroAmount,Specified message amount is equal to zero,,
OBExternalStatusReason1Code,AM02,NotAllowedAmount,Specific transaction/message amount is greater than allowed maximum,,
OBExternalStatusReason1Code,AM03,NotAllowedCurrency,Specified message amount is an non processable currency outside of existing agreement,,
OBExternalStatusReason1Code,AM04,InsufficientFunds,Amount of funds available to cover specified message amount is insufficient.,,
OBExternalStatusReason1Code,AM05,Duplication,Duplication,,
OBExternalStatusReason1Code,AM06,TooLowAmount,Specified transaction amount is less than agreed minimum.,,
OBExternalStatusReason1Code,AM07,BlockedAmount,Amount specified in message has been blocked by regulatory authorities.,,
OBExternalStatusReason1Code,AM09,WrongAmount,Amount received is not the amount agreed or expected,,
OBExternalStatusReason1Code,AM10,InvalidControlSum,Sum of instructed amounts does not equal the control sum.,,
OBExternalStatusReason1Code,AM11,InvalidTransactionCurrency,Transaction currency is invalid or missing,,
OBExternalStatusReason1Code,AM12,InvalidAmount,Amount is invalid or missing,,
OBExternalStatusReason1Code,AM13,AmountExceedsClearingSystemLimit,Transaction amount exceeds limits set by clearing system,,
OBExternalStatusReason1Code,AM14,AmountExceedsAgreedLimit,Transaction amount exceeds limits agreed between bank and client,,
OBExternalStatusReason1Code,AM15,AmountBelowClearingSystemMinimum,Transaction amount below minimum set by clearing system,,
OBExternalStatusReason1Code,AM16,InvalidGroupControlSum,Control Sum at the Group level is invalid,,
OBExternalStatusReason1Code,AM17,InvalidPaymentInfoControlSum,Control Sum at the Payment Information level is invalid,,
OBExternalStatusReason1Code,AM18,InvalidNumberOfTransactions,"Number of transactions is invalid or missing.
Generic usage if cannot specify between group and payment information levels.",,
OBExternalStatusReason1Code,AM19,InvalidGroupNumberOfTransactions,Number of transactions at the Group level is invalid or missing,,
OBExternalStatusReason1Code,AM20,InvalidPaymentInfoNumberOfTransactions,Number of transactions at the Payment Information level is invalid,,
OBExternalStatusReason1Code,AM21,LimitExceeded,Transaction amount exceeds limits agreed between bank and client.,,
OBExternalStatusReason1Code,AM22,ZeroAmountNotApplied,"Unable to apply zero amount to designated account. For example, where the rules of a service allow the use of zero amount payments, however the back-office system is unable to apply the funds to the account. If the rules of a service prohibit the use of zero amount payments, then code AM01 is used to report the error condition.",,
OBExternalStatusReason1Code,AM23,AmountExceedsSettlementLimit,Transaction amount exceeds settlement limit.,,
OBExternalStatusReason1Code,BE01,InconsistenWithEndCustomer,Identification of end customer is not consistent with associated account number. (formerly CreditorConsistency).,,
OBExternalStatusReason1Code,BE04,MissingCreditorAddress,"Specification of creditor's address, which is required for payment, is missing/not correct (formerly IncorrectCreditorAddress).",,
OBExternalStatusReason1Code,BE05,UnrecognisedInitiatingParty,Party who initiated the message is not recognised by the end customer,,
OBExternalStatusReason1Code,BE06,UnknownEndCustomer,End customer specified is not known at associated Sort/National Bank Code or does no longer exist in the books,,
OBExternalStatusReason1Code,BE07,MissingDebtorAddress,"Specification of debtor's address, which is required for payment, is missing/not correct.",,
OBExternalStatusReason1Code,BE08,MissingDebtorName,Debtor name is missing,,
OBExternalStatusReason1Code,BE09,InvalidCountry,"Country code is missing or Invalid.
Generic usage if cannot specifically identify debtor or creditor",,
OBExternalStatusReason1Code,BE10,InvalidDebtorCountry,Debtor country code is missing or invalid,,
OBExternalStatusReason1Code,BE11,InvalidCreditorCountry,Creditor country code is missing or invalid,,
OBExternalStatusReason1Code,BE12,InvalidCountryOfResidence,"Country code of residence is missing or Invalid.
Generic usage if cannot specifically identify debtor or creditor",,
