,,Enum Category,,OBErrorResponseError1Code,,,,,,
,,,,,"E.g., if a consent resource had a status of AwaitingAuthorisation or Rejected, a resource could not be created against this consent.",,,,,
,,,,,The path element should be populated with the field in the consent resource that is invalid.,,,,,
OBInternalErrorResponseError1Code,U010,UK.OB.Resource.InvalidFormat,,400,"When the Payload schema does not match to the endpoint, e.g., /domestic-payments endpoint is called with a JSON Payload, which cannot be parsed into a class such as OBWriteDomestic1",,,,,
OBInternalErrorResponseError1Code,U011,UK.OB.Resource.NotFound,,400,Returned when a resource with the specified Id does not exist (and hence could not be operated upon).,,,,,
OBInternalErrorResponseError1Code,U012,UK.OB.Rules.AfterCutOffDateTime,,400,{payment-order} consent / resource received after CutOffDateTime,,,,,
OBInternalErrorResponseError1Code,U013,UK.OB.Rules.DuplicateReference,,400,A duplicate reference has been used for a CBPII confirmation of funds request.,,,,,
OBInternalErrorResponseError1Code,U014,UK.OB.Rules.FailsControlParameters,,400,A payment breaches a limitation set by one or more ControlParameters.,,,,,
OBInternalErrorResponseError1Code,U015,UK.OB.Signature.Invalid,,400,"The signature header x-jws-signature was parsed and has a valid JOSE header that complies with the specification. However, the signature itself could not be verified.",,,,,
OBInternalErrorResponseError1Code,U016,UK.OB.Signature.InvalidClaim,,400,The JOSE header in the x-jws-signature has one or more claims with an invalid value. (e.g. a kid that does not resolve to a valid certificate). The name of the missing claim should be specified in the path field of the error response.,,,,,
OBInternalErrorResponseError1Code,U017,UK.OB.Signature.MissingClaim,,400,The JOSE header in the x-jws-signature has one or more mandatory claim(s) that are not specified. The name of the missing claim(s) should be specified in the path field of the error response.,,,,,
OBInternalErrorResponseError1Code,U018,UK.OB.Signature.Malformed,,400,The x-jws-signature in the request header was malformed and could not be parsed as a valid JWS.,,,,,
OBInternalErrorResponseError1Code,U019,UK.OB.Signature.Missing,,400,"The API request expected an x-jws-signature in the header, but it was missing.",,,,,
OBInternalErrorResponseError1Code,U020,UK.OB.Signature.Unexpected,,400,"The API request was not expecting to receive an x-jws-signature in the header, but the TPP made a request that included an x-jws-signature.",,,,,
OBInternalErrorResponseError1Code,U021,UK.OB.Unsupported.AccountIdentifier,,400,The account identifier is unsupported for the given scheme.,,,,,
,,,,,The path element should be populated with the path of the AccountIdentifier.,,,,,
OBInternalErrorResponseError1Code,U022,UK.OB.Unsupported.AccountSecondaryIdentifier,,400,The account secondary identifier is unsupported for the given scheme.,,,,,
,,,,,The path element should be populated with the path of the AccountSecondaryIdentifier.,,,,,
OBInternalErrorResponseError1Code,U023,UK.OB.Unsupported.Currency,,400,The currency is not supported. Use UK.OB.Field.Invalid for invalid Currency.,,,,,
,,,,,The path element should be populated with the path of the Currency.,,,,,
,,,,,The URL should be populated with a link to ASPSP documentation listing out the supported currencies.,,,,,
OBInternalErrorResponseError1Code,U024,UK.OB.Unsupported.EventType,,400,Event Type is not supported.,,,,,
,,,,,The path element should be populated with the path of the EventType.,,,,,
,,,,,The URL should be populated with a link to ASPSP documentation listing out the supported Event Types.,,,,,
OBInternalErrorResponseError1Code,U025,UK.OB.Unsupported.Frequency,,400,Frequency is not supported.,,,,,
,,,,,The path element should be populated with the path of the Frequency.,,,,,
,,,,,The URL should be populated with a link to ASPSP documentation listing out the supported frequencies.,,,,,
OBInternalErrorResponseError1Code,U026,UK.OB.Unsupported.LocalInstrument,,400,LocalInstrument is not supported by the ASPSP.,,,,,
,,,,,The path element should be populated with the path of the LocalInstrument.,,,,,
,,,,,The URL should be populated with a link to ASPSP documentation listing out the supported local instruments.,,,,,
OBInternalErrorResponseError1Code,U027,UK.OB.Unsupported.Scheme,,400,Identification scheme is not supported. The path element should be populated with the path of the scheme. The URL should be populated with a link to ASPSP documentation listing out the supported schemes.,,,,,
OBInternalErrorResponseError1Code,U028,UK.OB.Reauthenticate,,403,The ASPSP must use this error code in Error Response to indicate that re-authentication by the PSU is required to process the request.,,,,,
OBInternalErrorResponseError1Code,U029,UK.OB.Rules.ResourceAlreadyExists,,409,"The ASPSP must use this error code in Error Response, to indicate that a resource with same parameters already exists, or in a state that doesn't allow requested operation.",,,,,
OBInternalErrorResponseError1Code,U000,UK.OB.UnexpectedError,,5xx,"An error code that can be used, when an unexpected error occurs.",,,,,
,,,,,"The ASPSP must populate the message with a meaningful error description, without revealing sensitive information.",,,,,
OBInternalAccountType1Code,Personal,Personal,,,,,,,,
OBInternalAccountType1Code,Business,Business,,,,,,,,
OBExternalAccountType1Code,MORT,Mortgage Account,,,,,,,,
OBExternalAccountType1Code,WALT,Wallet,,,,,,,,
OBExternalConsentProprietaryCode,AWAU,Awaiting Authorisation,,,,,,,,
OBExternalConsentProprietaryCode,RJCT,Rejected,,,,,,,,
OBExternalConsentProprietaryCode,AUTH,Authorised,,,,,,,,
OBExternalConsentProprietaryCode,CANC,Cancelled,,,,,,,,
OBExternalConsentProprietaryCode,EXPD,Expired,,,,,,,,
OBExternalConsentProprietaryCode,COND,Consumed,,,,,,,,
OBExternalConsentProprietaryCode,AWUP,AwaitingUpload,,,,,,,,
OBExternalPaymentTransactionStatus1Code,INPE,InitiationPending,,,,,,,,
OBExternalPaymentTransactionStatus1Code,INFA,InitiationFailed,,,,,,,,
OBExternalPaymentTransactionStatus1Code,INCO,InitiationCompleted,,,,,,,,
OBExternalStatusReason1Code,80,Expected within unspecified period but within PSD guidelines,,,,,,,,
OBExternalStatusReason1Code,81,Expected on same day,,,,,,,,
OBExternalStatusReason1Code,82,Expected on next Calendar Day,,,,,,,,
OBExternalStatusReason1Code,83,Expected on next Working Day,,,,,,,,
OBExternalStatusReason1Code,84,Expected after next working day but within PSD guidelines,,,,,,,,
OBExternalStatusReason1Code,1181,Duplicate Payment (FPID). Resubitting with change,,,,,,,,
OBExternalStatusReason1Code,0,Credited to beneficiary account,,,,,,,,
OBExternalStatusReason1Code,U030,Payment order successfully received,,,,,,,,
OBExternalStatusReason1Code,U031,All checks yet to start,,,,,,,,
OBExternalStatusReason1Code,U032,Customer profile checks completed,,,,,,,,
OBExternalStatusReason1Code,U033,Authorisation failed,,,,,,,,
OBExternalStatusReason1Code,U034,Debit to Debtor's account completed. Sent to next agent/scheme,,,,,,,,
OBExternalStatusReason1Code,U035,Consent already consumed,,,,,,,,
OBExternalStatusReason1Code,U036,Authorisation not completed,,,,,,,,
OBExternalStatusReason1Code,U037,UK.OB.UnexpectedError,,,,,,,,
OBExternalStatusReason1Code,U038,Authorisation failed,,,,,,,,
OBExternalStatusReason1Code,U039,Authorisation failed,,,,,,,,
OBExternalStatusReason1Code,U040,Consent consumed successfully,,,,,,,,
OBExternalStatusReason1Code,U041,Reinstate not allowed any more.,,,,,,,,
OBExternalStatusReason1Code,U042,Awaiting multiple authentication,,,,,,,,
,,,,,,,,,,
